"国家_中文","地图要素_英文","体系类别","标准体系","配色HEX","数据来源"
"马来西亚","Malaysia","hybrid","混合型","#9575cd","cert_pyramid.json"
"泰国","Thailand","hybrid","混合型","#9575cd","cert_pyramid.json"
"巴西","Brazil","hybrid","混合型","#9575cd","cert_pyramid.json"
"沙特","Saudi Arabia","hybrid","混合型","#9575cd","cert_pyramid.json"
"菲律宾","Philippines","hybrid","混合型","#9575cd","cert_pyramid.json"
"阿联酋","United Arab Emirates","hybrid","混合型","#9575cd","cert_pyramid.json"
"土耳其","Turkey","hybrid","混合型","#9575cd","cert_pyramid.json"
"英国","United Kingdom","hybrid","混合型","#9575cd","cert_pyramid.json"
"南非","South Africa","hybrid","混合型","#9575cd","cert_pyramid.json"
"智利","Chile","hybrid","混合型","#9575cd","cert_pyramid.json"
"阿根廷","Argentina","hybrid","混合型","#9575cd","cert_pyramid.json"
"哥伦比亚","Colombia","hybrid","混合型","#9575cd","cert_pyramid.json"
"科威特","Kuwait","hybrid","混合型","#9575cd","cert_pyramid.json"
"卡塔尔","Qatar","hybrid","混合型","#9575cd","cert_pyramid.json"
"阿曼","Oman","hybrid","混合型","#9575cd","cert_pyramid.json"
"巴林","Bahrain","hybrid","混合型","#9575cd","cert_pyramid.json"
"加纳","Ghana","hybrid","混合型","#9575cd","cert_pyramid.json"
"厄瓜多尔","Ecuador","hybrid","混合型","#9575cd","cert_pyramid.json"
"新加坡","Singapore","hybrid","混合型","#9575cd","cert_pyramid.json"
"日本","Japan","own_full","日本 保安基準","#4db6ac","cert_pyramid.json"
"韩国","Korea","own_full","韩标 KMVSS(自我认证)","#00897b","cert_pyramid.json"
"印度","India","own_full","印度 CMVR/AIS","#d81b60","cert_pyramid.json"
"俄罗斯","Russia","own_full","欧亚 TR CU(EAEU/OTTS)","#3f51b5","cert_pyramid.json"
"越南","Vietnam","own_full","自有体系(UN-R/欧盟调和)","#7d8aa0","cert_pyramid.json"
"印度尼西亚","Indonesia","own_full","自有体系(UN-R/欧盟调和)","#7d8aa0","cert_pyramid.json"
"加拿大","Canada","own_full","加标 CMVSS(自我认证)","#7cb342","cert_pyramid.json"
"德国","Germany","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","cert_pyramid.json"
"摩洛哥","Morocco","own_full","自有体系(UN-R/欧盟调和)","#7d8aa0","cert_pyramid.json"
"乌克兰","Ukraine","own_full","自有体系(UN-R/欧盟调和)","#7d8aa0","cert_pyramid.json"
"哈萨克斯坦","Kazakhstan","own_full","欧亚 TR CU(EAEU/OTTS)","#3f51b5","cert_pyramid.json"
"突尼斯","Tunisia","own_full","自有体系(UN-R/欧盟调和)","#7d8aa0","cert_pyramid.json"
"美国","United States","own_full","美标 FMVSS(自我认证)","#2e7d32","cert_pyramid.json"
"澳大利亚","Australia","own_full","澳标 ADR","#ef8c2f","cert_pyramid.json"
"白俄罗斯","Belarus","own_full","欧亚 TR CU(EAEU/OTTS)","#3f51b5","cert_pyramid.json"
"亚美尼亚","Armenia","own_full","欧亚 TR CU(EAEU/OTTS)","#3f51b5","cert_pyramid.json"
"吉尔吉斯斯坦","Kyrgyzstan","own_full","欧亚 TR CU(EAEU/OTTS)","#3f51b5","cert_pyramid.json"
"奥地利","Austria","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","cert_pyramid.json"
"克罗地亚","Croatia","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","cert_pyramid.json"
"立陶宛","Lithuania","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","cert_pyramid.json"
"罗马尼亚","Romania","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","cert_pyramid.json"
"爱沙尼亚","Estonia","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","cert_pyramid.json"
"意大利","Italy","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","cert_pyramid.json"
"挪威","Norway","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","cert_pyramid.json"
"摩尔多瓦","Moldova","own_full","自有体系(UN-R/欧盟调和)","#7d8aa0","cert_pyramid.json"
"新喀里多尼亚","New Caledonia","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","cert_pyramid.json"
"中国","China","own_full","中国 GB/CCC + 公告","#c0392b","cert_pyramid.json"
"欧盟","Belgium","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Bulgaria","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Cyprus","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Czech Rep.","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Denmark","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Finland","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","France","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Greece","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Hungary","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Ireland","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Latvia","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Luxembourg","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Malta","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Netherlands","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Poland","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Portugal","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Slovakia","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Slovenia","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Spain","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"欧盟","Sweden","own_full","欧盟 EU-WVTA(Reg 2018/858)","#2f6d8c","欧盟成员兜底"
"阿尔及利亚","Algeria","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"墨西哥","Mexico","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"埃及","Egypt","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"以色列","Israel","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"秘鲁","Peru","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"尼日利亚","Nigeria","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"肯尼亚","Kenya","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"巴基斯坦","Pakistan","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"孟加拉国","Bangladesh","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"约旦","Jordan","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"乌兹别克斯坦","Uzbekistan","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"伊拉克","Iraq","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"斯里兰卡","Sri Lanka","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"坦桑尼亚","Tanzania","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"埃塞俄比亚","Ethiopia","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"乌拉圭","Uruguay","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"巴拉圭","Paraguay","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"缅甸","Myanmar","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"柬埔寨","Cambodia","recognition","采信外部型","#c79a2e","cert_pyramid.json"
"尼泊尔","Nepal","recognition","采信外部型","#c79a2e","cert_pyramid.json"
